Timestamp,Turno,Grado,¿Cuántos alumnos en total asistieron a clase a este salón de clase el día de hoy?, ¿Se reportó HOY algún nuevo caso de Covid en alguna persona que haya usado este salón de clase  (personal docente o alumnos)?,¿Cuál de las siguientes opciones describe mejor el uso del cubre bocas en este salón de clase?,¿Cuál de las siguientes opciones describe mejor el uso del purificador el día de hoy?,¿Cuál es la razón por la que no fue usado o estuvo apagado temporalmente el purificador?,¿Cuál de las siguientes opciones describe mejor la situación de las ventanas de este salón de clase?,¿Por qué razón se decidió cerrar o mantener cerradas las ventanas durante la jornada escolar de hoy?,¿Cuál de las siguientes opciones describe mejor la situación de la puerta principal de este salón de clase?,¿Por qué razón se decidió cerrar o mantener cerrada la puerta durante la jornada escolar de hoy?,Grupo
9/28/2021 13:41:22,Matutino,5to,8,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
9/29/2021 14:16:55,Matutino,6to,6,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
9/29/2021 16:05:07,Matutino,5to,10,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
9/30/2021 11:38:47,Matutino,4to,15,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/1/2021 12:07:15,Matutino,5to,8,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/4/2021 19:17:32,Matutino,5to,5,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/6/2021 12:35:03,Matutino,4to,11,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/6/2021 12:42:29,Matutino,6to,7,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/6/2021 13:56:27,Matutino,5to,8,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/6/2021 14:52:15,Matutino,1ro,14,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,C
10/6/2021 20:08:51,Matutino,2do,10,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/7/2021 16:29:43,Matutino,5to,10,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/7/2021 19:23:14,Matutino,1ro,15,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,C
10/7/2021 22:24:18,Matutino,2do,10,Si,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/8/2021 9:19:49,Matutino,4to,12,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/8/2021 12:29:59,Matutino,5to,8,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/8/2021 12:30:46,Matutino,4to,12,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/8/2021 12:38:33,Matutino,6to,7,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/8/2021 12:52:38,Matutino,2do,9,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/12/2021 12:22:32,Matutino,4to,10,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/12/2021 18:55:29,Matutino,6to,6,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/12/2021 19:25:28,Matutino,1ro,13,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,C
10/12/2021 19:31:13,Matutino,2do,8,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/12/2021 19:34:15,Matutino,5to,10,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/13/2021 12:05:47,Matutino,4to,14,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/13/2021 12:21:15,Matutino,3ro,10,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/13/2021 12:39:16,Matutino,5to,10,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/13/2021 12:59:49,Matutino,6to,6,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/13/2021 16:44:04,Matutino,2do,11,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/13/2021 17:49:09,Matutino,1ro,14,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,C
10/14/2021 15:31:49,Matutino,2do,10,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/14/2021 19:15:12,Matutino,1ro,13,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,C
10/14/2021 22:23:25,Matutino,5to,9,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/15/2021 13:27:19,Matutino,5to,10,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
10/15/2021 20:47:04,Matutino,1ro,13,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,C
10/15/2021 23:26:26,Matutino,2do,9,No,Todas las personas en este salón utilizaron el cubre bocas continuamente el día de hoy,El purificador se utilizó la totalidad de tiempo de clase (sin contar tiempo de recreo),,Las ventanas estuvieron abiertas toda la jornada escolar de hoy,,La puerta estuvo abierta toda la jornada escolar de hoy,,A
